 84/250 [=========>....................] - ETA: 33s - loss: 0.0320 - accuracy: 0.9881
 85/250 [=========>....................] - ETA: 33s - loss: 0.0316 - accuracy: 0.9882
 86/250 [=========>....................] - ETA: 33s - loss: 0.0312 - accuracy: 0.9884
 87/250 [=========>....................] - ETA: 33s - loss: 0.0309 - accuracy: 0.9885
 88/250 [=========>....................] - ETA: 32s - loss: 0.0305 - accuracy: 0.9886
 89/250 [=========>....................] - ETA: 32s - loss: 0.0302 - accuracy: 0.9888
 90/250 [=========>....................] - ETA: 32s - loss: 0.0298 - accuracy: 0.9889
 91/250 [=========>....................] - ETA: 32s - loss: 0.0295 - accuracy: 0.9890
 92/250 [==========>...................] - ETA: 32s - loss: 0.0292 - accuracy: 0.9891
 93/250 [==========>...................] - ETA: 31s - loss: 0.0289 - accuracy: 0.9892
 94/250 [==========>...................] - ETA: 31s - loss: 0.0286 - accuracy: 0.9894
 95/250 [==========>...................] - ETA: 31s - loss: 0.0283 - accuracy: 0.9895
 96/250 [==========>...................] - ETA: 31s - loss: 0.0280 - accuracy: 0.9896
 97/250 [==========>...................] - ETA: 31s - loss: 0.0277 - accuracy: 0.9897
 98/250 [==========>...................] - ETA: 30s - loss: 0.0274 - accuracy: 0.9898
 99/250 [==========>...................] - ETA: 30s - loss: 0.0271 - accuracy: 0.9899
100/250 [===========>..................] - ETA: 30s - loss: 0.0268 - accuracy: 0.9900
101/250 [===========>..................] - ETA: 30s - loss: 0.0266 - accuracy: 0.9901
102/250 [===========>..................] - ETA: 30s - loss: 0.0263 - accuracy: 0.9902
103/250 [===========>..................] - ETA: 29s - loss: 0.0261 - accuracy: 0.9903
104/250 [===========>..................] - ETA: 29s - loss: 0.0258 - accuracy: 0.9904
105/250 [===========>..................] - ETA: 29s - loss: 0.0256 - accuracy: 0.9905
106/250 [===========>..................] - ETA: 29s - loss: 0.0253 - accuracy: 0.9906
107/250 [===========>..................] - ETA: 29s - loss: 0.0251 - accuracy: 0.9907
108/250 [===========>..................] - ETA: 28s - loss: 0.0249 - accuracy: 0.9907
109/250 [============>.................] - ETA: 28s - loss: 0.0246 - accuracy: 0.9908
110/250 [============>.................] - ETA: 28s - loss: 0.0244 - accuracy: 0.9909
111/250 [============>.................] - ETA: 28s - loss: 0.0242 - accuracy: 0.9910
112/250 [============>.................] - ETA: 27s - loss: 0.0240 - accuracy: 0.9911
113/250 [============>.................] - ETA: 27s - loss: 0.0238 - accuracy: 0.9912
114/250 [============>.................] - ETA: 27s - loss: 0.0235 - accuracy: 0.9912
115/250 [============>.................] - ETA: 27s - loss: 0.0233 - accuracy: 0.9913
116/250 [============>.................] - ETA: 27s - loss: 0.0231 - accuracy: 0.9914
117/250 [=============>................] - ETA: 26s - loss: 0.0229 - accuracy: 0.9915
118/250 [=============>................] - ETA: 26s - loss: 0.0227 - accuracy: 0.9915
119/250 [=============>................] - ETA: 26s - loss: 0.0226 - accuracy: 0.9916
120/250 [=============>................] - ETA: 26s - loss: 0.0224 - accuracy: 0.9917
121/250 [=============>................] - ETA: 26s - loss: 0.0222 - accuracy: 0.9917
122/250 [=============>................] - ETA: 25s - loss: 0.0220 - accuracy: 0.9918
123/250 [=============>................] - ETA: 25s - loss: 0.0218 - accuracy: 0.9919
124/250 [=============>................] - ETA: 25s - loss: 0.0216 - accuracy: 0.9919
125/250 [==============>...............] - ETA: 25s - loss: 0.0215 - accuracy: 0.9920
126/250 [==============>...............] - ETA: 25s - loss: 0.0213 - accuracy: 0.9921
127/250 [==============>...............] - ETA: 24s - loss: 0.0211 - accuracy: 0.9921
128/250 [==============>...............] - ETA: 24s - loss: 0.0210 - accuracy: 0.9922
129/250 [==============>...............] - ETA: 24s - loss: 0.0208 - accuracy: 0.9922
130/250 [==============>...............] - ETA: 24s - loss: 0.0206 - accuracy: 0.9923
131/250 [==============>...............] - ETA: 24s - loss: 0.0205 - accuracy: 0.9924
132/250 [==============>...............] - ETA: 23s - loss: 0.0203 - accuracy: 0.9924
133/250 [==============>...............] - ETA: 23s - loss: 0.0202 - accuracy: 0.9925
134/250 [===============>..............] - ETA: 23s - loss: 0.0200 - accuracy: 0.9925
135/250 [===============>..............] - ETA: 23s - loss: 0.0199 - accuracy: 0.9926
136/250 [===============>..............] - ETA: 23s - loss: 0.0197 - accuracy: 0.9926
137/250 [===============>..............] - ETA: 22s - loss: 0.0196 - accuracy: 0.9927
138/250 [===============>..............] - ETA: 22s - loss: 0.0195 - accuracy: 0.9928
139/250 [===============>..............] - ETA: 22s - loss: 0.0193 - accuracy: 0.9928
140/250 [===============>..............] - ETA: 22s - loss: 0.0192 - accuracy: 0.9929
